pk,token_indices,weights
9166,"[63, 155, 55, 15, 97, 931, 29, 1417, 1201, 5, 245, 44, 1427, 10, 6, 122, 50, 13, 834, 1371]","[2.7519443, 3.6198866, 2.6032968, 1.6383634, 3.154494, 5.54257, 2.103904, 5.9467287, 5.54257, 1.2280477, 4.016383, 2.366332, 5.9467287, 1.3726887, 1.1933746, 3.3410935, 2.425759, 1.5005196, 5.256192, 5.9467287]"
9167,"[5, 166, 26, 6, 2619, 46, 4, 34, 5, 477, 6, 86, 13, 69, 5, 30, 83, 6, 690, 908, 350, 2325, 4, 2330, 66, 2623, 50, 743, 1646]","[3.684143, 3.7174158, 1.9403142, 3.580124, 5.9467287, 2.3778827, 2.0290585, 2.1914208, 3.684143, 4.7004805, 3.580124, 3.0482748, 1.5005196, 2.8076801, 3.684143, 2.1291559, 2.9994752, 3.580124, 5.034352, 5.256192, 4.45176, 5.9467287, 2.0290585, 5.9467287, 2.7519443, 5.9467287, 2.425759, 5.256192, 5.9467287]"
9168,"[2, 2585, 8, 207, 139, 3, 2399, 11, 4, 126, 621, 3, 1596, 165, 71, 305]","[0.9135472, 5.9467287, 1.2845422, 3.8260806, 3.5314627, 2.0741847, 5.9467287, 1.4113835, 1.0145292, 3.41267, 5.034352, 2.0741847, 5.9467287, 3.7702034, 2.8468866, 4.2536764]"
9169,"[6, 544, 156, 1813, 975, 2464, 16, 2, 1016, 7, 2, 401, 7, 19, 1347, 58, 2109, 14, 5, 114]","[1.1933746, 4.8533316, 3.6198866, 5.9467287, 5.54257, 5.9467287, 1.7576411, 1.8270944, 5.54257, 2.5840435, 1.8270944, 4.568247, 2.5840435, 1.8461946, 5.9467287, 2.588249, 5.9467287, 1.6516291, 1.2280477, 3.2746258]"
9170,"[295, 219, 3, 196, 5, 101]","[4.2536764, 3.8854222, 1.0370923, 3.8260806, 1.2280477, 3.1830916]"
9171,"[11, 508, 13, 1202]","[1.4113835, 4.8533316, 1.5005196, 5.54257]"
9172,"[6, 28, 13, 784, 555, 28, 200, 13, 69, 113, 609, 166, 789, 443, 103, 659, 1176, 391]","[1.1933746, 4.080617, 3.0010393, 5.256192, 4.8533316, 4.080617, 3.7702034, 3.0010393, 2.8076801, 3.3072655, 5.034352, 3.7174158, 5.256192, 4.568247, 3.2430964, 5.034352, 5.54257, 4.568247]"
9173,"[13, 1234, 7, 1475, 765, 166, 395, 32, 26, 2, 1486, 8, 13, 347, 1668, 712, 11, 35, 645, 13, 465, 12, 5, 9, 777, 571, 32, 7, 109, 2075, 1957, 4, 2085, 10, 13, 408, 2159, 1165]","[6.0020785, 5.54257, 2.5840435, 5.9467287, 5.256192, 3.7174158, 4.568247, 4.2244625, 1.9403142, 0.9135472, 5.9467287, 1.2845422, 6.0020785, 4.45176, 5.9467287, 5.034352, 1.4113835, 2.1822214, 5.034352, 6.0020785, 4.7004805, 1.4113835, 1.2280477, 1.3843317, 5.256192, 4.8533316, 4.2244625, 2.5840435, 3.2430964, 5.9467287, 5.9467287, 1.0145292, 5.9467287, 1.3726887, 6.0020785, 4.568247, 5.9467287, 5.54257]"
9174,"[11, 757, 13, 640, 1172, 32, 16, 13, 657, 652, 4, 657, 2554, 96, 240, 317, 624, 13, 651, 657, 1910, 12, 336, 2, 191, 7, 20, 415, 704, 256, 2, 1368]","[1.4113835, 5.256192, 4.501559, 5.034352, 5.54257, 2.1122313, 1.7576411, 4.501559, 16.62771, 5.034352, 1.0145292, 16.62771, 5.9467287, 3.3072655, 4.016383, 4.347694, 5.034352, 4.501559, 5.034352, 16.62771, 5.9467287, 1.4113835, 4.347694, 1.8270944, 3.7702034, 1.2920218, 2.0875108, 5.034352, 5.034352, 4.0892034, 1.8270944, 5.9467287]"
9175,"[15, 45, 163, 3, 142, 32, 2, 161, 22, 2, 1198, 939]","[1.6383634, 2.3437033, 3.7174158, 1.0370923, 3.5746412, 2.1122313, 1.8270944, 3.8260806, 1.8461946, 1.8270944, 5.54257, 5.54257]"
